index	Subject	Session	Mean Physics Retrieval Accuracy	Mean Correct RT	Mean Incorrect RT	Gender	Class	Gender And Class
72	342	post	0.6666666666666666	4288.5	2364.5	F	Modeling	Modeling F
73	343	pre	0.5416666666666666	4982.923076923077	2545.7272727272725	F	Lecture	Lecture F
74	343	post	0.5	4606.416666666667	3383.1666666666665	F	Lecture	Lecture F
75	344	pre	0.5833333333333334	4849.285714285715	2576.0	F	Modeling	Modeling F
76	344	post	0.6666666666666666	4325.375	4600.875	F	Modeling	Modeling F
77	345	pre	0.5	4247.416666666667	4579.416666666667	F	Modeling	Modeling F
78	345	post	0.7083333333333334	3658.6470588235293	4100.857142857143	F	Modeling	Modeling F
79	346	pre	0.625	4458.533333333334	3569.222222222222	F	Modeling	Modeling F
80	346	post	0.6666666666666666	4623.625	3777.5	F	Modeling	Modeling F
81	347	pre	0.625	5003.333333333333	1733.2222222222222	M	Modeling	Modeling M
82	347	post	0.7916666666666666	4554.368421052632	876.2	M	Modeling	Modeling M
83	348	pre	0.875	3436.5714285714284	4438.0	F	Lecture	Lecture F
84	348	post	0.7916666666666666	3616.4210526315787	3924.6	F	Lecture	Lecture F
85	349	pre	0.7916666666666666	4162.631578947368	4314.6	F	Lecture	Lecture F
86	349	post	0.7083333333333334	3828.9411764705883	3184.4285714285716	F	Lecture	Lecture F
87	350	pre	0.5833333333333334	4513.714285714285	1854.7	F	Modeling	Modeling F
88	350	post	0.75	4372.722222222223	3521.5	F	Modeling	Modeling F
89	451	pre	0.7083333333333334	4168.176470588235	3566.0	M	Modeling	Modeling M
90	451	post	0.8333333333333334	3681.7	4140.0	M	Modeling	Modeling M
92	453	pre	0.7916666666666666	4139.736842105263	2894.4	M	Lecture	Lecture M
93	453	post	0.875	4106.571428571428	1399.6666666666667	M	Lecture	Lecture M
94	455	pre	0.625	4721.0	3918.222222222222	F	Modeling	Modeling F
95	455	post	0.625	4772.533333333334	3074.6666666666665	F	Modeling	Modeling F
97	457	pre	0.8333333333333334	3396.5	4547.75	M	Lecture	Lecture M
98	457	post	0.8333333333333334	3155.8	1624.25	M	Lecture	Lecture M
99	458	pre	0.5416666666666666	4536.153846153846	3278.2727272727275	F	Lecture	Lecture F
100	458	post	0.6666666666666666	4468.9375	2828.625	F	Lecture	Lecture F
101	459	pre	0.6666666666666666	4160.625	3009.625	M	Modeling	Modeling M
102	459	post	0.9583333333333334	3881.913043478261	0.0	M	Modeling	Modeling M
103	460	pre	0.5416666666666666	4448.076923076923	3715.090909090909	F	Modeling	Modeling F
