	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Gender	Class	Group
87	350	session-1	0.666667	1	21302.77778	15859.55556	F	Mod	F_Mod
88	451	session-0	0.444444	1	16098.88889	14794.55556	M	Mod	M_Mod
89	451	session-1	0.777778	1	17372.44444	11905.33333	M	Mod	M_Mod
91	453	session-0	0.555556	0.888889	17173.22222	15915.33333	M	Trad	M_Trad
92	453	session-1	0.666667	1	20130.11111	14324.33333	M	Trad	M_Trad
93	455	session-0	0.333333	0.888889	31252.66667	20367	F	Mod	F_Mod
94	455	session-1	0.666667	0.888889	16720.77778	15692.55556	F	Mod	F_Mod
96	457	session-0	0.666667	1	25412.88889	22878.44444	M	Trad	M_Trad
97	457	session-1	0.666667	1	20335.22222	19119.22222	M	Trad	M_Trad
98	458	session-0	0.333333	0.888889	22636.11111	18664	F	Trad	F_Trad
99	458	session-1	0.555556	1	25381.55556	18169.55556	F	Trad	F_Trad
100	459	session-0	0.444444	1	17589.44444	14092.11111	M	Mod	M_Mod
101	459	session-1	0.888889	1	20500.55556	15756.11111	M	Mod	M_Mod
102	460	session-0	0.222222	0.888889	18882.44444	17644.11111	F	Mod	F_Mod
103	460	session-1	0.444444	1	16520.33333	12294.66667	F	Mod	F_Mod
104	462	session-0	0.222222	1	18608.33333	15918.11111	F	Trad	F_Trad
105	462	session-1	0.222222	1	11583.66667	12299.77778	F	Trad	F_Trad
106	463	session-0	0.444444	1	22233.77778	12759.22222	M	Trad	M_Trad
107	463	session-1	0.777778	1	15884	10585	M	Trad	M_Trad
108	464	session-0	0.444444	1	28282.66667	21712	M	Trad	M_Trad
109	464	session-1	0.444444	0.888889	17531	18504.55556	M	Trad	M_Trad
110	465	session-0	0.111111	1	25484.77778	19612.11111	F	Mod	F_Mod
111	465	session-1	0.333333	1	28797.88889	21241.88889	F	Mod	F_Mod
112	467	session-0	0.666667	1	22088.11111	17970.33333	M	Trad	M_Trad
113	467	session-1	0.777778	1	20687.44444	13379.33333	M	Trad	M_Trad
114	468	session-0	0.333333	1	24983	16631.44444	M	Trad	M_Trad
115	468	session-1	0.555556	1	22747.11111	14854.66667	M	Trad	M_Trad
116	469	session-0	0.555556	1	23420.77778	18077.22222	M	Mod	M_Mod
117	469	session-1	0.444444	1	23684.11111	15968.22222	M	Mod	M_Mod
118	470	session-0	0.444444	1	19361.33333	16664.88889	M	Trad	M_Trad
119	470	session-1	0.555556	1	19275.88889	14126.88889	M	Trad	M_Trad
120	502	session-0	0.333333	1	27602.11111	14167	F	Mod	F_Mod
121	502	session-1	0.333333	1	23903.33333	15386	F	Mod	F_Mod
122	503	session-0	0.666667	1	23166	14992.88889	M	Mod	M_Mod
123	503	session-1	0.777778	1	16475.22222	11082.66667	M	Mod	M_Mod
124	571	session-0	0.222222	1	18852.44444	15576.88889	M	Mod	M_Mod
125	571	session-1	0.222222	1	24454	17723.44444	M	Mod	M_Mod
126	572	session-0	0.444444	1	20390	17197.33333	F	Mod	F_Mod
127	572	session-1	0.888889	1	20206.77778	17394.77778	F	Mod	F_Mod
128	573	session-0	0	1	21892.66667	16992.22222	F	Mod	F_Mod
129	573	session-1	0.333333	1	28737.11111	19542.66667	F	Mod	F_Mod
130	574	session-0	0.444444	1	25199.44444	17113	F	Trad	F_Trad
131	574	session-1	0.777778	1	26340.11111	15359	F	Trad	F_Trad
133	577	session-0	0.444444	1	28923.88889	27722.33333	M	Trad	M_Trad
134	577	session-1	0.555556	1	15369.55556	12799.33333	M	Trad	M_Trad
135	578	session-0	0.444444	1	27652.33333	17818.77778	M	Mod	M_Mod
136	578	session-1	0.444444	1	23314.88889	18198.11111	M	Mod	M_Mod
139	581	session-0	0.666667	1	21059.44444	15658.77778	M	Trad	M_Trad
140	581	session-1	0.888889	1	15353.88889	11926.66667	M	Trad	M_Trad
141	582	session-0	0.333333	1	19717.22222	17247.66667	F	Mod	F_Mod
142	582	session-1	0.555556	1	24200.33333	19093.44444	F	Mod	F_Mod
143	584	session-0	0.333333	1	20222.55556	14748.22222	F	Mod	F_Mod
144	584	session-1	0.111111	1	17289	13711.33333	F	Mod	F_Mod
145	585	session-0	0.555556	1	20128.33333	17230.44444	M	Mod	M_Mod
146	585	session-1	0.444444	0.888889	20091.33333	16091.33333	M	Mod	M_Mod
147	586	session-0	0.666667	1	21795.88889	17349	M	Trad	M_Trad
148	586	session-1	0.666667	1	22808.22222	17474.44444	M	Trad	M_Trad
149	587	session-0	0.555556	1	25374	13760.77778	M	Trad	M_Trad
150	587	session-1	0.777778	1	18411	14795.77778	M	Trad	M_Trad
151	588	session-0	0.222222	1	20352.88889	16987.77778	F	Trad	F_Trad
152	588	session-1	0.555556	0.888889	19129.11111	20278.33333	F	Trad	F_Trad
153	589	session-0	0	1	19769.22222	16531	F	Mod	F_Mod
154	589	session-1	0.555556	1	19627.22222	14294.44444	F	Mod	F_Mod
156	591	session-0	0.222222	0.888889	23498.55556	15718.66667	F	Mod	F_Mod
157	591	session-1	0.555556	1	25282.55556	14209.55556	F	Mod	F_Mod
158	592	session-0	0.333333	1	27011.11111	25562.88889	F	Trad	F_Trad
159	592	session-1	0.444444	1	20850.44444	14153.44444	F	Trad	F_Trad
160	593	session-0	0.333333	1	26819.22222	20071	F	Trad	F_Trad
161	593	session-1	0.333333	1	21052.55556	14441.22222	F	Trad	F_Trad
162	594	session-0	0.444444	1	17596.88889	15037.77778	M	Mod	M_Mod
163	594	session-1	0.666667	1	15650.33333	14200.77778	M	Mod	M_Mod
164	595	session-0	0.444444	1	18798.33333	16134.66667	M	Mod	M_Mod
165	595	session-1	0.444444	1	22355.55556	23385.22222	M	Mod	M_Mod
166	596	session-0	0.555556	1	28823.33333	21748.33333	M	Mod	M_Mod
167	596	session-1	0.777778	1	18930.11111	18673.66667	M	Mod	M_Mod
168	597	session-0	0.555556	1	19721	18990.22222	M	Trad	M_Trad
169	597	session-1	0.444444	0.888889	20041.22222	19954.88889	M	Trad	M_Trad
170	598	session-0	0.777778	1	21800.55556	14157.22222	M	Trad	M_Trad
171	598	session-1	0.888889	1	21065	11413.33333	M	Trad	M_Trad
172	604	session-0	0.111111	1	19372.44444	16467.33333	M	Mod	M_Mod
173	604	session-1	0.222222	0.888889	19081	14283.66667	M	Mod	M_Mod
174	605	session-0	0.666667	1	27338.22222	19203.55556	F	Trad	F_Trad
175	605	session-1	0.111111	1	27751.33333	16876.66667	F	Trad	F_Trad
176	606	session-0	0.777778	0.888889	25676.44444	17995	M	Trad	M_Trad
177	606	session-1	0.777778	1	23717.77778	12892.66667	M	Trad	M_Trad
178	607	session-0	1	1	24751.11111	15635	M	Trad	M_Trad
179	607	session-1	1	1	12944.88889	13042.88889	M	Trad	M_Trad
180	608	session-0	0.444444	0.888889	19771.55556	16637.44444	M	Trad	M_Trad
181	608	session-1	0.666667	1	15288.88889	16195.22222	M	Trad	M_Trad
182	609	session-0	0.666667	1	24009.88889	16550.22222	M	Mod	M_Mod
183	609	session-1	0.888889	1	18911.66667	14418	M	Mod	M_Mod
184	610	session-0	0.333333	1	15456.77778	12728.33333	M	Mod	M_Mod
185	610	session-1	0.555556	0.888889	15680.33333	13146.66667	M	Mod	M_Mod
187	612	session-0	0.444444	1	23029.77778	14514.66667	M	Mod	M_Mod
188	612	session-1	0.777778	1	17821.22222	13291.66667	M	Mod	M_Mod
189	613	session-0	0.777778	1	24057.88889	14539.33333	M	Trad	M_Trad
190	613	session-1	0.666667	1	13639.22222	16104.88889	M	Trad	M_Trad
191	614	session-0	0.666667	1	21522.66667	19615.11111	F	Trad	F_Trad
192	614	session-1	0.555556	0.888889	23791.88889	20776.55556	F	Trad	F_Trad
193	615	session-0	0.333333	1	17633.11111	16161.77778	F	Trad	F_Trad
194	615	session-1	0.777778	1	23034.55556	19849.44444	F	Trad	F_Trad
196	617	session-0	0.666667	1	17410.88889	12902.22222	M	Trad	M_Trad
197	617	session-1	0.777778	0.888889	13151.11111	11660	M	Trad	M_Trad
198	618	session-0	0.111111	0.777778	38192.55556	27768	F	Mod	F_Mod
199	618	session-1	0.333333	1	28183.66667	23745.55556	F	Mod	F_Mod
200	619	session-0	0.555556	1	18990.44444	13008.44444	M	Trad	M_Trad
201	619	session-1	0.777778	1	13231.88889	11991.22222	M	Trad	M_Trad
202	620	session-0	0.666667	1	17171.44444	12958.77778	M	Mod	M_Mod
203	620	session-1	0.777778	1	23056.55556	14355.55556	M	Mod	M_Mod
204	621	session-0	0.111111	1	21170	14804.22222	M	Mod	M_Mod
205	621	session-1	0.555556	0.888889	24079.11111	14095.22222	M	Mod	M_Mod
206	622	session-0	0.666667	0.888889	16465.11111	12742.55556	M	Mod	M_Mod
207	622	session-1	0.555556	1	12765	13014	M	Mod	M_Mod
208	623	session-0	0.666667	1	33451.66667	19354.22222	F	Mod	F_Mod
209	623	session-1	0.777778	1	20219	14381.44444	F	Mod	F_Mod
210	624	session-0	0.333333	1	24196.66667	18048.33333	M	Trad	M_Trad
211	624	session-1	0.333333	0.888889	17889.22222	15596.66667	M	Trad	M_Trad
212	625	session-0	0.333333	1	22702.66667	18807.11111	F	Trad	F_Trad
213	625	session-1	0.555556	1	28348.44444	19924.11111	F	Trad	F_Trad
214	626	session-0	0.666667	1	25342.66667	19788.66667	M	Mod	M_Mod
215	626	session-1	0.777778	1	21940.33333	13942.77778	M	Mod	M_Mod
216	627	session-0	0.666667	1	28728.66667	23295.33333	M	Trad	M_Trad
217	627	session-1	0.777778	1	27122.33333	20662.33333	M	Trad	M_Trad
219	629	session-0	0.888889	1	20612.11111	18333.11111	M	Mod	M_Mod
220	629	session-1	0.888889	0.888889	23419	16689.55556	M	Mod	M_Mod
221	630	session-0	0.666667	1	32453.55556	24241.77778	M	Mod	M_Mod
222	630	session-1	0.666667	1	21591.44444	20150.88889	M	Mod	M_Mod
223	631	session-0	0.222222	0.888889	18604.44444	15656.44444	F	Mod	F_Mod
224	631	session-1	0.444444	1	27858.88889	15690.77778	F	Mod	F_Mod
225	633	session-0	0.777778	1	16797.44444	15489.66667	M	Mod	M_Mod
226	633	session-1	0.888889	1	12605.33333	11826.44444	M	Mod	M_Mod
227	634	session-0	1	1	24296.55556	19921.88889	F	Trad	F_Trad
228	634	session-1	1	1	19441.11111	18159.55556	F	Trad	F_Trad
