	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean FCI Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen1 RT	Mean Control Screen2 RT	Mean Control Screen3 RT	Gender	Class	Group
174	605	session-0	0.666667	1.0	27338.222222	19203.555556	9347.0	6077.333333	11913.888889	8131.222222	3829.777778	7242.555556	F	Trad	F_Trad
175	605	session-1	0.111111	1.0	27751.333333	16876.666667	7828.333333	6933.222222	12989.777778	7691.333333	3779.0	5406.333333	F	Trad	F_Trad
176	606	session-0	0.777778	0.888889	25676.444444	17995.0	7315.111111	6827.0	11534.333333	7410.888889	3614.666667	6969.444444	M	Trad	M_Trad
177	606	session-1	0.777778	1.0	23717.777778	12892.666667	6359.111111	5032.111111	12326.555556	5792.888889	2245.111111	4854.666667	M	Trad	M_Trad
178	607	session-0	1.0	1.0	24751.111111	15635.0	8584.888889	7262.444444	8903.777778	7097.222222	3115.333333	5422.444444	M	Trad	M_Trad
179	607	session-1	1.0	1.0	12944.888889	13042.888889	5199.333333	3325.555556	4420.0	6688.777778	1752.444444	4601.666667	M	Trad	M_Trad
180	608	session-0	0.444444	0.888889	19771.555556	16637.444444	5875.111111	4761.333333	9135.111111	5681.666667	3064.111111	7891.666667	M	Trad	M_Trad
181	608	session-1	0.666667	1.0	15288.888889	16195.222222	5178.888889	3408.666667	6701.333333	5516.222222	2640.666667	8038.333333	M	Trad	M_Trad
182	609	session-0	0.666667	1.0	24009.888889	16550.222222	8044.0	8201.888889	7764.0	8341.222222	3336.222222	4872.777778	M	Mod	M_Mod
183	609	session-1	0.888889	1.0	18911.666667	14418.0	7079.555556	4575.555556	7256.555556	7577.111111	2675.0	4165.888889	M	Mod	M_Mod
184	610	session-0	0.333333	1.0	15456.777778	12728.333333	6550.444444	4911.111111	3995.222222	6248.888889	2981.333333	3498.111111	M	Mod	M_Mod
185	610	session-1	0.555556	0.888889	15680.333333	13146.666667	7129.444444	5419.111111	3131.777778	6898.888889	3155.0	3092.777778	M	Mod	M_Mod
186	611	session-0	0.555556	0.888889	20432.0	15592.111111	5907.333333	5794.222222	8730.444444	7145.777778	2596.111111	5850.222222	M	Trad	M_Trad
187	612	session-0	0.444444	1.0	23029.777778	14514.666667	6691.444444	6212.333333	10126.0	7126.222222	2829.333333	4559.111111	M	Mod	M_Mod
188	612	session-1	0.777778	1.0	17821.222222	13291.666667	5569.111111	2882.222222	9369.888889	6113.666667	2157.888889	5020.111111	M	Mod	M_Mod
189	613	session-0	0.777778	1.0	24057.888889	14539.333333	8103.0	7116.555556	8838.333333	7035.444444	2397.777778	5106.111111	M	Trad	M_Trad
190	613	session-1	0.666667	1.0	13639.222222	16104.888889	5948.666667	3499.111111	4191.444444	7721.777778	2094.666667	6288.444444	M	Trad	M_Trad
191	614	session-0	0.666667	1.0	21522.666667	19615.111111	6413.555556	5384.888889	9724.222222	6498.111111	2507.777778	10609.222222	F	Trad	F_Trad
192	614	session-1	0.555556	0.888889	23791.888889	20776.555556	7228.333333	3789.111111	12774.444444	7706.888889	2839.444444	10230.222222	F	Trad	F_Trad
193	615	session-0	0.333333	1.0	17633.111111	16161.777778	8121.444444	5008.555556	4503.111111	7602.333333	3558.555556	5000.888889	F	Trad	F_Trad
194	615	session-1	0.777778	1.0	23034.555556	19849.444444	10817.666667	5510.888889	6706.0	10313.0	4966.888889	4569.555556	F	Trad	F_Trad
195	616	session-0	0.111111	1.0	21254.555556	15403.111111	8392.666667	5668.222222	7193.666667	7694.444444	3598.666667	4110.0	F	Trad	F_Trad
196	617	session-0	0.666667	1.0	17410.888889	12902.222222	5718.333333	4011.333333	7681.222222	5461.777778	2470.0	4970.444444	M	Trad	M_Trad
197	617	session-1	0.777778	0.888889	13151.111111	11660.0	4468.222222	3055.666667	5627.222222	4686.666667	2005.444444	4967.888889	M	Trad	M_Trad
198	618	session-0	0.111111	0.777778	38192.555556	27768.0	11441.666667	10326.555556	16424.333333	12493.888889	5146.444444	10127.666667	F	Mod	F_Mod
199	618	session-1	0.333333	1.0	28183.666667	23745.555556	10934.555556	8836.333333	8412.777778	11376.888889	5806.444444	6562.222222	F	Mod	F_Mod
200	619	session-0	0.555556	1.0	18990.444444	13008.444444	5289.555556	5565.666667	8135.222222	5099.222222	2466.888889	5442.333333	M	Trad	M_Trad
201	619	session-1	0.777778	1.0	13231.888889	11991.222222	4356.444444	3182.0	5693.444444	5561.888889	2055.666667	4373.666667	M	Trad	M_Trad
202	620	session-0	0.666667	1.0	17171.444444	12958.777778	6260.333333	4671.333333	6239.777778	6007.666667	2801.777778	4149.333333	M	Mod	M_Mod
203	620	session-1	0.777778	1.0	23056.555556	14355.555556	7287.222222	6556.0	9213.333333	7236.444444	2198.777778	4920.333333	M	Mod	M_Mod
204	621	session-0	0.111111	1.0	21170.0	14804.222222	6369.444444	4021.444444	10779.111111	6354.444444	3032.777778	5417.0	M	Mod	M_Mod
205	621	session-1	0.555556	0.888889	24079.111111	14095.222222	5434.666667	4763.333333	13881.111111	6475.444444	1926.777778	5693.0	M	Mod	M_Mod
206	622	session-0	0.666667	0.888889	16465.111111	12742.555556	6195.888889	5654.555556	4614.666667	5922.0	2729.555556	4091.0	M	Mod	M_Mod
207	622	session-1	0.555556	1.0	12765.0	13014.0	5393.555556	3400.666667	3970.777778	5053.777778	2854.555556	5105.666667	M	Mod	M_Mod
208	623	session-0	0.666667	1.0	33451.666667	19354.222222	10547.555556	6451.555556	16452.555556	8510.444444	3640.666667	7203.111111	F	Mod	F_Mod
209	623	session-1	0.777778	1.0	20219.0	14381.444444	7022.222222	5346.333333	7850.444444	6564.666667	2280.555556	5536.222222	F	Mod	F_Mod
210	624	session-0	0.333333	1.0	24196.666667	18048.333333	7562.333333	6328.111111	10306.222222	6796.777778	3738.555556	7513.0	M	Trad	M_Trad
211	624	session-1	0.333333	0.888889	17889.222222	15596.666667	4837.777778	4424.666667	8626.777778	5520.555556	3231.0	6845.111111	M	Trad	M_Trad
212	625	session-0	0.333333	1.0	22702.666667	18807.111111	6969.777778	6596.888889	9136.0	7651.888889	4149.222222	7006.0	F	Trad	F_Trad
213	625	session-1	0.555556	1.0	28348.444444	19924.111111	7451.111111	6595.333333	14302.0	8013.0	3675.888889	8235.222222	F	Trad	F_Trad
214	626	session-0	0.666667	1.0	25342.666667	19788.666667	9335.222222	7181.666667	8825.777778	9785.0	4253.666667	5750.0	M	Mod	M_Mod
215	626	session-1	0.777778	1.0	21940.333333	13942.777778	6090.111111	5924.111111	9926.111111	5908.777778	2593.555556	5440.444444	M	Mod	M_Mod
216	627	session-0	0.666667	1.0	28728.666667	23295.333333	7547.444444	7046.111111	14135.111111	7352.777778	4488.444444	11454.111111	M	Trad	M_Trad
217	627	session-1	0.777778	1.0	27122.333333	20662.333333	7626.333333	5399.777778	14096.222222	6307.666667	2693.333333	11661.333333	M	Trad	M_Trad
218	628	session-0	0.444444	1.0	15357.111111	12813.777778	5468.666667	3988.111111	5900.333333	3253.222222	2812.111111	6748.444444	M	Mod	M_Mod
219	629	session-0	0.888889	1.0	20612.111111	18333.111111	6700.0	5198.888889	8713.222222	6646.333333	2827.888889	8858.888889	M	Mod	M_Mod
220	629	session-1	0.888889	0.888889	23419.0	16689.555556	6798.555556	5208.777778	11411.666667	6326.444444	3548.666667	6814.444444	M	Mod	M_Mod
221	630	session-0	0.666667	1.0	32453.555556	24241.777778	8568.777778	8070.0	15814.777778	8756.111111	3963.444444	11522.222222	M	Mod	M_Mod
222	630	session-1	0.666667	1.0	21591.444444	20150.888889	8693.222222	5011.222222	7887.0	7816.888889	3703.888889	8630.111111	M	Mod	M_Mod
223	631	session-0	0.222222	0.888889	18604.444444	15656.444444	5866.888889	5683.0	7054.555556	5944.444444	2964.333333	6747.666667	F	Mod	F_Mod
224	631	session-1	0.444444	1.0	27858.888889	15690.777778	7442.333333	8681.222222	11735.333333	7516.444444	3221.333333	4953.0	F	Mod	F_Mod
225	633	session-0	0.777778	1.0	16797.444444	15489.666667	5864.111111	3807.0	7126.333333	5779.111111	2224.777778	7485.777778	M	Mod	M_Mod
226	633	session-1	0.888889	1.0	12605.333333	11826.444444	3903.888889	3326.555556	5374.888889	5577.555556	1685.555556	4563.333333	M	Mod	M_Mod
227	634	session-0	1.0	1.0	24296.555556	19921.888889	8427.0	6250.555556	9619.0	8182.111111	3154.111111	8585.666667	F	Trad	F_Trad
228	634	session-1	1.0	1.0	19441.111111	18159.555556	7079.444444	4504.222222	7857.444444	7817.777778	2652.555556	7689.222222	F	Trad	F_Trad
