	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean FCI Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen1 RT	Mean Control Screen2 RT	Mean Control Screen3 RT	Gender	Class	Group
40	325	session-0	0.333333	1.0	18852.111111	12554.444444	5804.0	4325.222222	8722.888889	4777.333333	2561.444444	5215.666667	M	Mod	M_Mod
41	325	session-1	0.777778	1.0	21633.333333	15645.777778	5938.333333	5980.888889	9714.111111	5706.666667	3679.555556	6259.555556	M	Mod	M_Mod
42	327	session-0	0.555556	1.0	19689.333333	15355.333333	6215.777778	5397.444444	8076.111111	6038.111111	2029.777778	7287.444444	M	Trad	M_Trad
43	327	session-1	0.666667	1.0	24042.111111	17376.111111	6658.444444	5826.333333	11557.333333	7872.0	3015.555556	6488.555556	M	Trad	M_Trad
44	328	session-0	0.333333	1.0	17518.333333	13221.888889	5520.666667	4256.777778	7740.888889	4831.666667	2095.666667	6294.555556	F	Trad	F_Trad
45	328	session-1	0.444444	1.0	16751.222222	13007.444444	5952.888889	5183.333333	5615.0	5774.555556	2428.222222	4804.666667	F	Trad	F_Trad
46	329	session-0	0.222222	1.0	22957.555556	19803.666667	10259.222222	5978.222222	6720.111111	9550.777778	3825.555556	6427.333333	F	Trad	F_Trad
47	330	session-0	0.333333	1.0	26640.777778	17055.777778	7235.444444	6783.333333	12622.0	6271.555556	2619.777778	8164.444444	F	Trad	F_Trad
48	330	session-1	0.777778	1.0	24248.222222	20838.0	6090.333333	6059.666667	12098.222222	6679.0	2885.333333	11273.666667	F	Trad	F_Trad
49	331	session-0	0.555556	1.0	32614.666667	18515.0	9149.444444	8620.555556	14844.666667	8694.222222	3154.666667	6666.111111	F	Trad	F_Trad
50	331	session-1	0.444444	1.0	22054.111111	14151.222222	7162.555556	6569.0	8322.555556	6766.333333	1955.666667	5429.222222	F	Trad	F_Trad
51	332	session-0	0.888889	1.0	25673.111111	16416.444444	9034.0	8228.555556	8410.555556	8054.444444	2937.555556	5424.444444	M	Mod	M_Mod
52	333	session-0	0.222222	1.0	30863.555556	18640.888889	9274.111111	7485.111111	14104.333333	7469.222222	2782.666667	8389.0	F	Trad	F_Trad
53	333	session-1	0.333333	1.0	16465.888889	14157.444444	6542.0	5563.111111	4360.777778	6401.444444	4037.333333	3718.666667	F	Trad	F_Trad
54	334	session-0	0.444444	1.0	23670.0	17843.222222	8465.666667	4957.555556	10246.777778	8053.777778	3091.777778	6697.666667	M	Mod	M_Mod
