	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean Control Screen1 RT	Mean FCI Screen2 RT	Mean Control Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen3 RT	Gender	Class	Group
44	328	session-0	0.333333	1	17518.33333	13221.88889	5520.666667	4831.666667	4256.777778	2095.666667	7740.888889	6294.555556	F	Trad	F_Trad
45	328	session-1	0.444444	1	16751.22222	13007.44444	5952.888889	5774.555556	5183.333333	2428.222222	5615	4804.666667	F	Trad	F_Trad
47	330	session-0	0.333333	1	26640.77778	17055.77778	7235.444444	6271.555556	6783.333333	2619.777778	12622	8164.444444	F	Trad	F_Trad
48	330	session-1	0.777778	1	24248.22222	20838	6090.333333	6679	6059.666667	2885.333333	12098.22222	11273.66667	F	Trad	F_Trad
49	331	session-0	0.555556	1	32614.66667	18515	9149.444444	8694.222222	8620.555556	3154.666667	14844.66667	6666.111111	F	Trad	F_Trad
50	331	session-1	0.444444	1	22054.11111	14151.22222	7162.555556	6766.333333	6569	1955.666667	8322.555556	5429.222222	F	Trad	F_Trad
52	333	session-0	0.222222	1	30863.55556	18640.88889	9274.111111	7469.222222	7485.111111	2782.666667	14104.33333	8389	F	Trad	F_Trad
53	333	session-1	0.333333	1	16465.88889	14157.44444	6542	6401.444444	5563.111111	4037.333333	4360.777778	3718.666667	F	Trad	F_Trad
54	334	session-0	0.444444	1	23670	17843.22222	8465.666667	8053.777778	4957.555556	3091.777778	10246.77778	6697.666667	M	Mod	M_Mod
55	334	session-1	0.666667	1	19149.88889	14179.44444	6859.111111	6982.666667	4132	2501.222222	8158.777778	4695.555556	M	Mod	M_Mod
56	335	session-0	0.222222	1	20158.88889	15339.33333	7576.555556	6900.666667	6065.222222	2778.111111	6517.111111	5660.555556	M	Mod	M_Mod
57	335	session-1	0.777778	1	21801	14441.11111	7194.333333	8078	7236.888889	2377.888889	7369.777778	3985.222222	M	Mod	M_Mod
58	336	session-0	1	1	22228.77778	17292.44444	6091.333333	6662.333333	4021.666667	2224.444444	12115.77778	8405.666667	M	Mod	M_Mod
59	336	session-1	0.777778	1	15273.66667	12542.11111	5527.111111	5564.333333	3347.666667	2188.444444	6398.888889	4789.333333	M	Mod	M_Mod
60	337	session-0	0.666667	0.888889	14193	10653.33333	4453.222222	4634.333333	3600.333333	1903.777778	6139.444444	4115.222222	M	Mod	M_Mod
61	337	session-1	0.777778	1	19460.22222	12440.44444	4492.444444	4447.111111	3716.666667	1918	11251.11111	6075.333333	M	Mod	M_Mod
62	338	session-0	0.777778	1	16855.66667	15072.55556	6754.111111	6478	4459.222222	3138.888889	5642.333333	5455.666667	M	Mod	M_Mod
63	338	session-1	0.777778	1	15716.11111	13273.22222	6157	6170.444444	4308.444444	2620.222222	5250.666667	4482.555556	M	Mod	M_Mod
64	339	session-0	0.444444	1	24915.44444	20032.11111	8031.333333	8571.444444	7557.555556	3978	9326.555556	7482.666667	F	Mod	F_Mod
65	339	session-1	0.666667	1	20198.77778	16445.22222	6092.333333	8561.777778	5106.777778	3147.111111	8999.666667	4736.333333	F	Mod	F_Mod
66	340	session-0	0.666667	1	19191.77778	11099.77778	5487.888889	4450	5656.888889	1908.777778	8047	4741	M	Mod	M_Mod
67	340	session-1	0.666667	1	21403.66667	12603.11111	4661.222222	4180.666667	4255.666667	1535.333333	12486.77778	6887.111111	M	Mod	M_Mod
68	341	session-0	0.666667	1	18549.55556	17736.88889	6817	7818.666667	4861.111111	3035.555556	6871.444444	6882.666667	M	Mod	M_Mod
69	341	session-1	0.888889	0.888889	17734.55556	16944.66667	6706.444444	6817.222222	4635.888889	3767.666667	6392.222222	6359.777778	M	Mod	M_Mod
70	342	session-0	0.444444	1	25366	14794.66667	7771	6352.777778	6000	2353.555556	11595	6088.333333	F	Mod	F_Mod
71	342	session-1	0.555556	1	20427.55556	12237.77778	5892.888889	6103.111111	7219.444444	2217.333333	7315.222222	3917.333333	F	Mod	F_Mod
72	343	session-0	0.333333	1	18298.33333	17597	6619.444444	7418.555556	4609.666667	2805.111111	7069.222222	7373.333333	F	Trad	F_Trad
