	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean Control Screen1 RT	Mean FCI Screen2 RT	Mean Control Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen3 RT	Gender	Class	Group
196	617	session-0	0.666667	1	17410.88889	12902.22222	5718.333333	5461.777778	4011.333333	2470	7681.222222	4970.444444	M	Trad	M_Trad
197	617	session-1	0.777778	0.888889	13151.11111	11660	4468.222222	4686.666667	3055.666667	2005.444444	5627.222222	4967.888889	M	Trad	M_Trad
198	618	session-0	0.111111	0.777778	38192.55556	27768	11441.66667	12493.88889	10326.55556	5146.444444	16424.33333	10127.66667	F	Mod	F_Mod
199	618	session-1	0.333333	1	28183.66667	23745.55556	10934.55556	11376.88889	8836.333333	5806.444444	8412.777778	6562.222222	F	Mod	F_Mod
200	619	session-0	0.555556	1	18990.44444	13008.44444	5289.555556	5099.222222	5565.666667	2466.888889	8135.222222	5442.333333	M	Trad	M_Trad
201	619	session-1	0.777778	1	13231.88889	11991.22222	4356.444444	5561.888889	3182	2055.666667	5693.444444	4373.666667	M	Trad	M_Trad
202	620	session-0	0.666667	1	17171.44444	12958.77778	6260.333333	6007.666667	4671.333333	2801.777778	6239.777778	4149.333333	M	Mod	M_Mod
203	620	session-1	0.777778	1	23056.55556	14355.55556	7287.222222	7236.444444	6556	2198.777778	9213.333333	4920.333333	M	Mod	M_Mod
204	621	session-0	0.111111	1	21170	14804.22222	6369.444444	6354.444444	4021.444444	3032.777778	10779.11111	5417	M	Mod	M_Mod
205	621	session-1	0.555556	0.888889	24079.11111	14095.22222	5434.666667	6475.444444	4763.333333	1926.777778	13881.11111	5693	M	Mod	M_Mod
206	622	session-0	0.666667	0.888889	16465.11111	12742.55556	6195.888889	5922	5654.555556	2729.555556	4614.666667	4091	M	Mod	M_Mod
207	622	session-1	0.555556	1	12765	13014	5393.555556	5053.777778	3400.666667	2854.555556	3970.777778	5105.666667	M	Mod	M_Mod
208	623	session-0	0.666667	1	33451.66667	19354.22222	10547.55556	8510.444444	6451.555556	3640.666667	16452.55556	7203.111111	F	Mod	F_Mod
209	623	session-1	0.777778	1	20219	14381.44444	7022.222222	6564.666667	5346.333333	2280.555556	7850.444444	5536.222222	F	Mod	F_Mod
210	624	session-0	0.333333	1	24196.66667	18048.33333	7562.333333	6796.777778	6328.111111	3738.555556	10306.22222	7513	M	Trad	M_Trad
211	624	session-1	0.333333	0.888889	17889.22222	15596.66667	4837.777778	5520.555556	4424.666667	3231	8626.777778	6845.111111	M	Trad	M_Trad
212	625	session-0	0.333333	1	22702.66667	18807.11111	6969.777778	7651.888889	6596.888889	4149.222222	9136	7006	F	Trad	F_Trad
213	625	session-1	0.555556	1	28348.44444	19924.11111	7451.111111	8013	6595.333333	3675.888889	14302	8235.222222	F	Trad	F_Trad
214	626	session-0	0.666667	1	25342.66667	19788.66667	9335.222222	9785	7181.666667	4253.666667	8825.777778	5750	M	Mod	M_Mod
215	626	session-1	0.777778	1	21940.33333	13942.77778	6090.111111	5908.777778	5924.111111	2593.555556	9926.111111	5440.444444	M	Mod	M_Mod
216	627	session-0	0.666667	1	28728.66667	23295.33333	7547.444444	7352.777778	7046.111111	4488.444444	14135.11111	11454.11111	M	Trad	M_Trad
217	627	session-1	0.777778	1	27122.33333	20662.33333	7626.333333	6307.666667	5399.777778	2693.333333	14096.22222	11661.33333	M	Trad	M_Trad
219	629	session-0	0.888889	1	20612.11111	18333.11111	6700	6646.333333	5198.888889	2827.888889	8713.222222	8858.888889	M	Mod	M_Mod
220	629	session-1	0.888889	0.888889	23419	16689.55556	6798.555556	6326.444444	5208.777778	3548.666667	11411.66667	6814.444444	M	Mod	M_Mod
221	630	session-0	0.666667	1	32453.55556	24241.77778	8568.777778	8756.111111	8070	3963.444444	15814.77778	11522.22222	M	Mod	M_Mod
222	630	session-1	0.666667	1	21591.44444	20150.88889	8693.222222	7816.888889	5011.222222	3703.888889	7887	8630.111111	M	Mod	M_Mod
223	631	session-0	0.222222	0.888889	18604.44444	15656.44444	5866.888889	5944.444444	5683	2964.333333	7054.555556	6747.666667	F	Mod	F_Mod
224	631	session-1	0.444444	1	27858.88889	15690.77778	7442.333333	7516.444444	8681.222222	3221.333333	11735.33333	4953	F	Mod	F_Mod
225	633	session-0	0.777778	1	16797.44444	15489.66667	5864.111111	5779.111111	3807	2224.777778	7126.333333	7485.777778	M	Mod	M_Mod
226	633	session-1	0.888889	1	12605.33333	11826.44444	3903.888889	5577.555556	3326.555556	1685.555556	5374.888889	4563.333333	M	Mod	M_Mod
227	634	session-0	1	1	24296.55556	19921.88889	8427	8182.111111	6250.555556	3154.111111	9619	8585.666667	F	Trad	F_Trad
228	634	session-1	1	1	19441.11111	18159.55556	7079.444444	7817.777778	4504.222222	2652.555556	7857.444444	7689.222222	F	Trad	F_Trad
