,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
,GIM1,GIM2,GIM3,GIM4,GIM5,GIM6,GIM7,GIM8,GIM9,GIM10,GIM11,GIM12,GIM13,GIM14,GIM15,GIM16,GIM17,GIM18,GIM19,GIM1,GIM2,GIM3,GIM4,GIM5,GIM6,GIM7,GIM8,GIM9,GIM10,GIM11,GIM12,GIM14,GIM15,GIM16,GIM17,GIM18,GIM19,GID Pre,GID Post
Physics_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,3,4.0,5.0,3,5,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5,3,5.0,5,5,3.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,,4.0,5.0,4.0,5.0,5.0,5.0,4.421052631578948,4.352941176470588
103,4,4.0,4.0,3,5,5.0,4.0,5.0,4.0,4.0,3.0,,6.0,4.0,5,3,5.0,4,5,4.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,,4.0,3.0,,4.0,5.0,4.0,5.0,5.0,5.0,4.277777777777778,4.0625
105,4,4.0,3.0,3,5,4.0,4.0,5.0,5.0,,3.0,3.0,6.0,4.0,5,5,,5,5,,,,,,,,,,,,,,,,,,,4.294117647058823,
106,3,5.0,4.0,3,4,3.0,,4.0,5.0,,3.0,,5.0,4.0,5,5,5.0,5,5,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,,4.0,5.0,4.0,5.0,5.0,5.0,4.25,3.8823529411764706
110,3,4.0,4.0,3,4,4.0,3.0,4.0,5.0,5.0,3.0,,6.0,5.0,5,5,5.0,5,5,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,4.333333333333333,4.294117647058823
212,3,,3.0,4,5,5.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,5,5,5.0,5,5,3.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,4.277777777777778
215,5,4.0,5.0,5,5,,5.0,,,,5.0,3.0,6.0,5.0,5,5,,5,5,4.0,4.0,,5.0,5.0,,4.0,,,,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.857142857142857,4.384615384615385
217,4,5.0,,2,5,4.0,4.0,,,4.0,4.0,3.0,6.0,,3,5,5.0,5,5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,4.266666666666667,3.9411764705882355
219,4,5.0,4.0,2,5,5.0,4.0,5.0,,4.0,3.0,,4.0,4.0,5,5,5.0,5,5,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,,5.0,3.0,,5.0,5.0,4.0,5.0,5.0,5.0,4.352941176470588,4.5625
325,4,5.0,5.0,4,5,5.0,4.0,5.0,5.0,4.0,3.0,,2.0,4.0,5,4,5.0,5,5,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,,5.0,5.0,3.0,5.0,5.0,5.0,4.388888888888889,4.529411764705882
327,4,4.0,3.0,4,4,,4.0,5.0,,,3.0,,3.0,4.0,5,5,5.0,5,5,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,,,3.0,,4.0,5.0,5.0,5.0,5.0,5.0,4.2,4.133333333333334
334,3,3.0,5.0,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5.0,5,5,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.7368421052631575,4.888888888888889
335,3,2.0,5.0,3,5,5.0,4.0,,,4.0,3.0,4.0,6.0,4.0,5,5,5.0,5,5,,,,,,,,,,,,,,,,,,,4.294117647058823,
336,5,4.0,4.0,4,5,4.0,,5.0,4.0,4.0,2.0,2.0,4.0,4.0,4,4,5.0,5,5,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.111111111111111,4.388888888888889
